,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
1592,2012-08-31,26,relationship,1,13724,58,5,1,2015-01-01,853
1593,2013-08-26,49,relationship,1,45143,311,15,3,2015-01-01,493
1594,2014-05-04,47,Single,1,52569,95,7,1,2015-01-01,242
1595,2012-10-18,41,Single,1,48432,424,19,5,2015-01-01,805
1596,2014-02-15,54,relationship,2,17144,47,12,5,2015-01-01,320
1597,2013-10-15,30,Single,1,36108,339,15,3,2015-01-01,443
1598,2012-09-28,43,relationship,1,76445,1410,21,1,2015-01-01,825
1599,2014-04-25,39,relationship,1,36663,35,6,1,2015-01-01,251
1600,2013-06-27,49,relationship,1,53843,562,20,4,2015-01-01,553
1601,2012-09-26,58,relationship,0,90226,2352,24,1,2015-01-01,827
1602,2013-01-06,59,Single,0,70638,1334,20,1,2015-01-01,725
1603,2013-08-30,54,relationship,2,44512,32,6,2,2015-01-01,489
1604,2014-02-03,53,relationship,2,27116,41,7,2,2015-01-01,332
1605,2013-07-27,51,relationship,2,54072,39,5,1,2015-01-01,523
1606,2013-01-16,37,relationship,1,71855,1141,25,4,2015-01-01,715
1607,2013-03-30,24,Single,1,51250,710,24,5,2015-01-01,642
1608,2014-09-03,41,relationship,1,60432,401,19,5,2015-01-01,120
1609,2014-11-04,50,relationship,1,65526,506,17,1,2015-01-01,58
1610,2012-10-08,26,Single,0,68655,1538,21,1,2015-01-01,815
1611,2012-04-12,36,relationship,0,12393,57,6,1,2015-01-01,994
1612,2013-08-17,24,Single,0,64509,1722,19,1,2015-01-01,502
1613,2013-09-08,39,Single,1,33955,270,15,4,2015-01-01,480
1614,2013-12-29,37,relationship,2,31353,31,6,2,2015-01-01,368
1615,2013-05-10,30,relationship,1,55434,882,24,3,2015-01-01,601
1616,2013-10-27,31,relationship,1,28359,16,4,1,2015-01-01,431
1617,2014-05-18,27,Single,1,57100,311,14,2,2015-01-01,228
1618,2014-01-27,49,relationship,1,69139,227,11,1,2015-01-01,339
1619,2012-08-11,58,relationship,1,52973,1152,31,7,2015-01-01,873
1620,2013-08-20,49,relationship,1,51717,122,8,1,2015-01-01,499
1621,2013-12-01,43,relationship,1,18793,77,9,3,2015-01-01,396
1622,2012-09-25,32,relationship,0,66664,1289,19,1,2015-01-01,828
1623,2013-01-16,55,Single,2,50664,561,24,9,2015-01-01,715
1624,2013-01-23,51,relationship,2,54414,211,13,4,2015-01-01,708
1625,2014-03-03,62,relationship,1,54549,233,12,2,2015-01-01,304
1626,2012-08-09,43,Single,1,47111,1092,21,6,2015-01-01,875
1627,2013-03-17,51,Single,0,41003,601,17,1,2015-01-01,655
1628,2014-02-22,32,relationship,1,19444,54,10,3,2015-01-01,313
1629,2013-10-25,38,relationship,1,36301,78,7,1,2015-01-01,433
1630,2013-08-31,67,relationship,1,73059,1095,26,1,2015-01-01,488
1631,2013-10-21,45,relationship,1,42731,244,13,3,2015-01-01,437
1632,2014-03-24,55,relationship,2,52854,116,9,2,2015-01-01,283
1633,2013-06-19,36,relationship,1,22775,15,4,1,2015-01-01,561
1634,2013-08-10,66,relationship,2,46681,425,16,2,2015-01-01,509
1635,2013-12-04,59,relationship,1,59821,734,26,6,2015-01-01,393
1636,2013-06-17,60,Single,1,50002,638,19,2,2015-01-01,563
1637,2013-02-10,69,relationship,0,69755,894,22,1,2015-01-01,690
1638,2014-06-19,45,relationship,2,44078,41,7,2,2015-01-01,196
1639,2013-06-27,38,relationship,1,30560,31,5,1,2015-01-01,553
1640,2014-03-23,45,relationship,2,35924,34,5,1,2015-01-01,284
1641,2013-09-23,50,Single,2,64140,1750,18,5,2015-01-01,465
1642,2012-10-27,33,relationship,2,56386,612,25,8,2015-01-01,796
1643,2013-10-12,35,relationship,1,24594,29,5,1,2015-01-01,446
1644,2014-02-05,33,relationship,1,75774,823,21,1,2015-01-01,330
1645,2013-10-05,54,Single,0,39228,20,4,1,2015-01-01,453
1646,2013-12-12,40,relationship,1,58494,396,16,2,2015-01-01,385
1647,2014-06-16,33,Single,0,58684,813,21,1,2015-01-01,199
1648,2013-05-18,47,Single,0,57136,1179,20,1,2015-01-01,593
1649,2014-07-05,64,Single,2,56551,138,10,3,2015-01-01,180
1650,2014-02-26,32,relationship,1,22448,55,9,3,2015-01-01,309
1651,2012-08-20,53,Single,0,82014,1511,22,1,2015-01-01,864
1652,2012-07-09,51,Single,2,34213,117,9,3,2015-01-01,906
1653,2013-04-29,37,relationship,0,157146,1730,28,0,2015-01-01,612
1654,2013-07-22,67,Single,1,25358,32,6,2,2015-01-01,528
1655,2014-08-03,36,Single,1,35544,67,6,1,2015-01-01,151
1656,2013-05-28,60,relationship,1,36634,335,15,3,2015-01-01,583
1657,2014-02-02,60,relationship,1,62670,825,22,1,2015-01-01,333
1658,2013-07-24,42,relationship,1,50334,694,23,6,2015-01-01,526
1659,2014-06-23,33,Single,0,72066,1792,17,1,2015-01-01,192
1660,2013-02-05,56,Single,2,50729,496,24,9,2015-01-01,695
1661,2013-05-15,46,relationship,2,34916,231,13,4,2015-01-01,596
1662,2014-05-29,38,Single,1,64892,902,24,2,2015-01-01,217
1663,2014-10-01,48,Single,2,43602,68,9,3,2015-01-01,92
1664,2013-11-09,25,Single,0,33996,71,6,1,2015-01-01,418
1665,2013-06-19,29,Single,1,41473,76,6,1,2015-01-01,561
1666,2013-08-20,47,relationship,2,63246,772,22,1,2015-01-01,499
1667,2013-12-29,55,relationship,2,36732,47,9,3,2015-01-01,368
1668,2013-11-19,44,relationship,1,69084,1586,25,2,2015-01-01,408
1669,2013-02-22,47,relationship,1,77766,1529,34,2,2015-01-01,678
1670,2013-07-30,29,Single,0,37929,265,13,2,2015-01-01,520
1671,2013-05-09,63,relationship,0,86610,1603,18,1,2015-01-01,602
1672,2013-11-01,28,relationship,0,80141,2091,22,1,2015-01-01,426
1673,2013-03-06,59,relationship,0,72635,981,21,1,2015-01-01,666
1674,2012-11-22,44,relationship,1,69016,1533,34,4,2015-01-01,770
1675,2012-11-28,23,relationship,0,20193,82,7,1,2015-01-01,764
1676,2013-03-25,39,relationship,1,27573,244,14,4,2015-01-01,647
1677,2013-06-27,35,Single,1,15862,36,5,1,2015-01-01,553
1678,2013-12-02,38,relationship,1,49544,404,16,2,2015-01-01,395
1679,2014-01-23,34,relationship,1,33228,71,6,1,2015-01-01,343
1680,2013-08-10,36,relationship,0,70440,1572,23,1,2015-01-01,509
1681,2014-01-17,43,relationship,2,38232,122,11,4,2015-01-01,349
1682,2012-03-11,59,relationship,2,22554,41,10,4,2015-01-01,1026
1683,2014-04-06,31,relationship,1,23536,10,4,1,2015-01-01,270
1684,2013-10-25,62,relationship,1,49413,304,13,2,2015-01-01,433
1685,2014-03-25,45,relationship,2,42231,37,5,1,2015-01-01,282
1686,2012-08-08,34,Single,0,78789,1754,16,1,2015-01-01,876
1687,2013-07-23,46,relationship,1,56534,815,25,4,2015-01-01,527
1688,2013-04-01,43,Single,1,58350,1001,27,4,2015-01-01,640
1689,2013-07-19,25,Single,0,81217,1157,22,1,2015-01-01,531
1690,2013-07-19,63,Single,1,49090,688,21,3,2015-01-01,531
1691,2013-06-07,27,Single,0,61787,1319,19,1,2015-01-01,573
1692,2013-02-19,29,relationship,1,18169,21,4,1,2015-01-01,681
1693,2012-08-27,33,Single,1,24336,31,4,1,2015-01-01,857
1694,2012-12-31,24,relationship,0,18222,67,6,1,2015-01-01,731
1695,2013-05-23,62,Single,1,62335,708,21,2,2015-01-01,588
1696,2012-09-19,43,relationship,2,42033,25,4,1,2015-01-01,834
1697,2013-02-27,31,relationship,0,86580,746,11,0,2015-01-01,673
1698,2012-09-22,57,Single,2,41437,32,5,1,2015-01-01,831
1699,2014-05-03,63,Single,2,73705,1695,25,2,2015-01-01,243
1700,2012-08-31,38,relationship,1,61064,1080,28,5,2015-01-01,853
1701,2014-03-30,59,relationship,2,38452,72,9,3,2015-01-01,277
1702,2013-11-20,25,Single,1,18358,57,10,3,2015-01-01,407
1703,2014-03-21,41,relationship,1,55012,660,25,6,2015-01-01,286
1704,2012-02-10,41,relationship,1,9722,103,11,4,2015-01-01,1056
1705,2013-09-23,30,relationship,1,38175,153,11,3,2015-01-01,465
1706,2012-09-20,58,relationship,1,58656,1220,32,4,2015-01-01,833
1707,2012-08-16,49,relationship,1,52117,279,13,2,2015-01-01,868
1708,2014-02-01,36,relationship,1,64813,745,20,1,2015-01-01,334
1709,2014-01-03,41,relationship,1,54222,264,12,1,2015-01-01,363
1710,2014-06-17,28,relationship,0,83512,2157,22,1,2015-01-01,198
1711,2013-08-28,55,relationship,1,77520,1526,23,1,2015-01-01,491
1712,2013-09-04,36,relationship,1,41154,69,6,1,2015-01-01,484
1713,2012-10-11,48,relationship,0,80398,1597,26,1,2015-01-01,812
1714,2014-05-29,22,Single,1,18746,64,8,2,2015-01-01,217
1715,2012-11-13,30,relationship,1,35196,497,18,6,2015-01-01,779
1716,2013-05-20,58,Single,1,60230,1067,17,2,2015-01-01,591
1717,2014-08-05,37,relationship,2,22108,31,7,2,2015-01-01,149
1718,2013-05-09,40,relationship,2,44392,211,14,5,2015-01-01,602
1719,2012-11-25,38,relationship,1,55424,877,25,4,2015-01-01,767
1720,2013-01-13,35,relationship,1,17688,11,4,1,2015-01-01,718
1721,2013-01-05,31,relationship,0,92491,2034,25,1,2015-01-01,726
1722,2013-12-14,23,Single,0,90273,1991,19,1,2015-01-01,383
1723,2014-02-04,52,Single,0,82571,1686,24,0,2015-01-01,331
1724,2014-01-28,32,Single,1,38513,324,17,5,2015-01-01,338
1725,2014-04-18,35,Single,1,16653,69,9,3,2015-01-01,258
1726,2012-10-29,59,relationship,2,42586,252,16,5,2015-01-01,794
1727,2013-07-01,49,Single,1,23529,54,5,1,2015-01-01,549
1728,2013-08-03,53,relationship,2,74881,964,27,4,2015-01-01,516
1729,2013-02-17,63,relationship,1,71107,1327,28,2,2015-01-01,683
1730,2014-03-23,50,relationship,2,46910,68,7,2,2015-01-01,284
1731,2012-12-28,55,relationship,0,18690,60,5,1,2015-01-01,734
1732,2013-04-27,59,Single,2,37244,55,5,1,2015-01-01,614
1733,2014-12-03,48,relationship,0,82427,1456,21,1,2015-01-01,29
1734,2013-06-05,56,Single,1,75342,563,18,1,2015-01-01,575
1735,2013-02-18,60,Single,1,70044,1504,26,4,2015-01-01,682
1736,2014-04-24,47,Single,2,79146,564,19,2,2015-01-01,252
1737,2013-11-26,51,relationship,0,77437,1125,23,1,2015-01-01,401
1738,2014-05-24,55,relationship,1,54984,358,17,4,2015-01-01,222
1739,2013-11-12,43,relationship,1,42403,42,5,1,2015-01-01,415
1740,2014-04-24,50,relationship,1,55761,184,10,2,2015-01-01,252
1741,2013-04-18,31,relationship,1,37292,460,19,5,2015-01-01,623
1742,2014-05-28,69,Single,0,45576,145,8,1,2015-01-01,218
1743,2013-01-16,67,relationship,0,70321,1376,25,1,2015-01-01,715
1744,2013-01-20,45,Single,1,58086,792,23,2,2015-01-01,711
1745,2012-10-26,62,relationship,0,81795,1382,23,1,2015-01-01,797
1746,2012-11-20,67,relationship,0,28389,28,4,1,2015-01-01,772
1747,2013-09-28,68,relationship,0,66835,1033,24,1,2015-01-01,460
1748,2013-05-29,45,Single,1,69901,882,23,3,2015-01-01,582
1749,2013-03-03,65,relationship,0,80360,2231,15,2,2015-01-01,669
1750,2012-10-16,53,relationship,1,63342,1101,19,3,2015-01-01,807
1751,2012-12-09,40,relationship,1,44989,369,16,5,2015-01-01,753
1752,2014-02-27,34,Single,1,31859,48,5,1,2015-01-01,308
1753,2013-12-02,65,Single,1,51569,467,19,4,2015-01-01,395
1754,2012-12-25,43,Single,2,30372,44,8,3,2015-01-01,737
1755,2013-03-17,35,Single,2,16014,38,10,4,2015-01-01,655
1756,2013-06-11,46,relationship,2,41120,81,9,3,2015-01-01,569
1757,2013-04-08,43,Single,1,39763,167,10,2,2015-01-01,633
1758,2014-10-05,59,relationship,2,38725,45,7,2,2015-01-01,88
1759,2013-05-26,42,relationship,1,77981,664,21,3,2015-01-01,585
1760,2013-10-09,50,relationship,1,62905,622,20,3,2015-01-01,449
1761,2013-10-03,35,Single,1,13533,48,7,2,2015-01-01,455
1762,2013-10-23,39,relationship,1,59481,461,16,2,2015-01-01,435
1763,2013-08-20,37,relationship,1,72117,1073,26,1,2015-01-01,499
1764,2013-07-09,28,relationship,1,21955,55,8,2,2015-01-01,541
1765,2013-03-26,58,relationship,1,67131,976,26,3,2015-01-01,646
1766,2014-06-16,34,Single,1,36802,20,5,1,2015-01-01,199
1767,2013-08-05,32,relationship,0,71853,1149,17,1,2015-01-01,514
1768,2014-06-15,53,relationship,0,28249,43,6,1,2015-01-01,200
1769,2013-10-20,39,relationship,1,47808,224,10,2,2015-01-01,438
1770,2012-09-18,40,Single,1,25509,101,9,3,2015-01-01,835
1771,2013-04-18,68,relationship,0,51012,209,10,1,2015-01-01,623
1772,2012-05-10,29,Single,0,70596,968,21,1,2015-01-01,966
1773,2013-08-06,62,relationship,0,85431,1165,17,1,2015-01-01,513
1774,2014-03-18,47,relationship,1,42664,24,5,1,2015-01-01,289
1775,2012-10-29,59,relationship,2,42586,252,16,5,2015-01-01,794
1776,2012-08-29,29,Single,1,29760,165,12,4,2015-01-01,855
1777,2012-10-13,37,relationship,0,28973,269,13,2,2015-01-01,810
1778,2013-06-08,41,relationship,1,39435,102,7,1,2015-01-01,572
1779,2013-01-08,30,relationship,0,65370,461,19,1,2015-01-01,723
1780,2012-12-17,35,Single,1,20194,47,7,2,2015-01-01,745
1781,2014-02-17,38,Single,2,42473,144,10,3,2015-01-01,318
1782,2012-10-14,46,relationship,0,64590,1338,24,1,2015-01-01,809
1783,2013-11-28,55,relationship,1,71232,917,25,2,2015-01-01,399
1784,2013-01-01,43,relationship,2,34600,318,17,5,2015-01-01,730
1785,2012-03-11,47,Single,2,46904,253,14,4,2015-01-01,1026
1786,2012-09-21,41,relationship,1,49094,502,20,5,2015-01-01,832
1787,2013-09-12,31,relationship,1,36075,119,7,1,2015-01-01,476
1788,2012-08-28,35,relationship,2,60839,1250,29,13,2015-01-01,856
1789,2013-02-11,35,relationship,1,77298,969,24,1,2015-01-01,689
1790,2013-05-08,64,relationship,2,34026,76,9,3,2015-01-01,603
1791,2014-12-04,51,Single,2,48918,62,7,2,2015-01-01,28
1792,2013-08-15,52,relationship,0,82122,1382,26,1,2015-01-01,504
1793,2014-07-02,38,Single,1,37697,84,7,1,2015-01-01,183
1794,2013-07-13,62,relationship,2,34074,255,14,5,2015-01-01,537
1795,2013-06-14,54,relationship,2,28520,43,5,1,2015-01-01,566
1796,2013-03-10,59,Single,1,62535,398,14,1,2015-01-01,662
1797,2014-04-16,37,Single,1,36273,76,8,2,2015-01-01,260
1798,2014-06-06,50,relationship,2,63404,902,15,2,2015-01-01,209
1799,2014-02-05,33,relationship,1,75774,823,21,1,2015-01-01,330
1800,2014-06-27,38,relationship,1,78416,1179,26,2,2015-01-01,188
1801,2012-10-14,40,relationship,1,75702,1921,29,1,2015-01-01,809
1802,2013-04-28,63,relationship,2,59385,185,10,2,2015-01-01,613
1803,2013-03-20,48,Single,2,37070,433,23,9,2015-01-01,652
1804,2014-10-01,63,relationship,2,44689,34,6,2,2015-01-01,92
1805,2013-08-06,56,relationship,1,53977,907,27,5,2015-01-01,513
1806,2013-07-12,48,Single,2,7144,416,25,0,2015-01-01,538
1807,2013-04-06,50,Single,2,18701,44,10,4,2015-01-01,635
1808,2014-04-28,58,relationship,0,90369,1588,17,1,2015-01-01,248
1809,2012-05-11,40,Single,0,63159,1797,17,1,2015-01-01,965
1810,2012-04-10,48,relationship,2,37758,40,6,2,2015-01-01,996
1811,2012-11-16,51,Single,1,46757,1143,21,6,2015-01-01,776
1812,2014-06-28,45,relationship,0,79734,914,14,1,2015-01-01,187
1813,2013-01-20,22,relationship,0,63207,1502,12,1,2015-01-01,711
1814,2013-02-14,60,Single,1,72071,1338,20,3,2015-01-01,686
1815,2013-07-21,31,relationship,1,21840,27,5,1,2015-01-01,529
1816,2013-09-28,32,relationship,1,58582,763,22,2,2015-01-01,460
1817,2013-07-19,63,Single,0,72282,1331,22,1,2015-01-01,531
1818,2013-08-31,58,relationship,2,50387,525,19,3,2015-01-01,488
1819,2014-06-15,53,relationship,2,32583,9,4,1,2015-01-01,200
1820,2014-07-04,52,relationship,1,62568,953,16,3,2015-01-01,181
1821,2013-11-10,43,Single,2,44635,68,7,2,2015-01-01,417
1822,2013-04-10,43,Single,2,33316,131,10,3,2015-01-01,631
1823,2013-09-08,46,relationship,1,63967,882,23,3,2015-01-01,480
1824,2012-04-09,36,relationship,0,52513,1149,25,2,2015-01-01,997
1825,2013-09-15,45,relationship,1,25293,37,5,1,2015-01-01,473
1826,2013-08-25,49,Single,1,54111,388,15,2,2015-01-01,494
1827,2013-02-15,28,relationship,0,78394,1428,16,1,2015-01-01,685
1828,2013-05-23,56,relationship,0,80739,1633,24,1,2015-01-01,588
1829,2013-05-22,39,relationship,1,22669,173,10,3,2015-01-01,589
1830,2013-08-10,27,Single,1,29236,99,9,2,2015-01-01,509
1831,2013-03-15,55,relationship,1,44911,215,12,3,2015-01-01,657
1832,2013-02-17,52,relationship,1,54693,929,31,8,2015-01-01,683
1833,2014-03-20,40,relationship,1,48186,219,12,3,2015-01-01,287
1834,2013-11-09,37,relationship,2,54809,174,12,4,2015-01-01,418
1835,2012-10-12,36,relationship,2,41580,92,9,3,2015-01-01,811
1836,2013-09-09,44,relationship,0,80336,1052,25,1,2015-01-01,479
1837,2013-03-22,57,relationship,1,47743,275,14,3,2015-01-01,650
1838,2012-03-08,59,relationship,1,62972,587,16,2,2015-01-01,1029
1839,2012-09-22,60,Single,1,57333,1662,33,11,2015-01-01,831
1840,2013-11-02,32,relationship,1,32313,159,11,3,2015-01-01,425
1841,2013-03-06,61,Single,0,84953,1024,18,1,2015-01-01,666
1842,2014-04-23,46,Single,1,27071,35,7,2,2015-01-01,253
1843,2013-08-31,57,relationship,0,68148,1042,15,1,2015-01-01,488
1844,2013-07-12,49,relationship,2,65735,395,19,5,2015-01-01,538
1845,2012-12-09,39,relationship,0,86836,557,23,1,2015-01-01,753
1846,2014-06-23,51,relationship,2,4023,9,15,15,2015-01-01,192
1847,2013-08-07,24,relationship,0,30093,69,6,1,2015-01-01,512
1848,2014-11-01,48,relationship,1,57705,486,18,3,2015-01-01,61
1849,2014-02-02,26,Single,1,25008,34,6,2,2015-01-01,333
1850,2012-09-18,19,Single,0,83257,1365,28,1,2015-01-01,835
1851,2013-05-19,39,relationship,1,22280,13,4,1,2015-01-01,592
1852,2012-10-29,36,relationship,0,72159,1401,21,1,2015-01-01,794
1853,2013-11-01,53,relationship,0,64260,1574,14,1,2015-01-01,426
1854,2013-10-09,30,Single,0,82733,1323,20,1,2015-01-01,449
1855,2013-12-08,43,Single,1,74290,1217,32,4,2015-01-01,389
1856,2012-11-17,63,Single,3,58217,103,7,1,2015-01-01,775
1857,2013-04-07,38,relationship,0,21024,84,7,1,2015-01-01,634
1858,2013-01-26,42,relationship,0,70116,1536,23,1,2015-01-01,705
1859,2012-09-18,29,relationship,1,54006,581,18,2,2015-01-01,835
1860,2012-07-11,48,relationship,1,69063,928,14,1,2015-01-01,904
1861,2013-12-15,39,Single,0,11448,14,4,1,2015-01-01,382
1862,2013-07-08,35,Single,1,61825,424,15,1,2015-01-01,542
1863,2013-10-14,43,relationship,1,70886,960,14,1,2015-01-01,444
1864,2012-09-11,32,relationship,0,69109,1555,20,1,2015-01-01,842
1865,2012-07-10,41,Single,2,60208,656,29,11,2015-01-01,905
1866,2013-06-09,46,relationship,2,32889,55,9,3,2015-01-01,571
1867,2014-11-05,30,Single,1,34738,20,5,1,2015-01-01,57
1868,2012-01-10,43,relationship,1,30538,367,17,4,2015-01-01,1087
1869,2014-10-03,37,relationship,0,82326,2257,22,1,2015-01-01,90
1870,2014-01-03,47,Single,1,26642,42,7,2,2015-01-01,363
1871,2013-12-06,50,Single,1,69932,1049,26,2,2015-01-01,391
1872,2014-04-16,42,Single,2,44503,48,7,2,2015-01-01,260
1873,2013-02-01,66,Single,1,60200,685,25,6,2015-01-01,699
1874,2014-04-19,62,Single,1,49638,39,5,1,2015-01-01,257
1875,2014-07-02,27,Single,0,23830,43,5,1,2015-01-01,183
1876,2012-08-16,55,Single,0,33051,835,21,3,2015-01-01,868
1877,2014-01-21,56,relationship,0,72905,1515,20,1,2015-01-01,345
1878,2013-02-19,63,relationship,1,69702,1039,26,2,2015-01-01,681
1879,2013-07-15,39,Single,1,70300,1596,26,3,2015-01-01,535
1880,2012-10-15,30,relationship,0,70643,1828,18,1,2015-01-01,808
1881,2014-04-30,45,relationship,1,30396,34,6,2,2015-01-01,246
1882,2014-04-18,46,Single,1,50616,149,10,2,2015-01-01,258
1883,2013-05-19,45,Single,1,62772,946,23,1,2015-01-01,592
1884,2014-05-19,29,Single,0,30298,28,6,1,2015-01-01,227
1885,2012-03-11,30,Single,1,52413,450,17,2,2015-01-01,1026
1886,2014-01-19,57,relationship,2,44155,46,5,1,2015-01-01,347
1887,2013-07-11,43,Single,0,86979,1702,16,1,2015-01-01,539
1888,2013-09-09,39,relationship,2,76532,820,25,4,2015-01-01,479
1889,2013-02-26,32,relationship,1,42081,382,15,2,2015-01-01,674
1890,2012-08-31,26,relationship,0,67546,2126,20,1,2015-01-01,853
1891,2014-02-05,25,relationship,0,88420,2069,20,1,2015-01-01,330
1892,2013-01-27,29,relationship,1,31158,72,7,2,2015-01-01,704
1893,2014-03-06,46,Single,1,61671,732,28,8,2015-01-01,301
1894,2014-05-26,40,Single,0,69719,801,11,1,2015-01-01,220
1895,2013-10-20,65,Single,1,49160,236,12,2,2015-01-01,438
1896,2012-09-09,36,relationship,1,24882,80,5,1,2015-01-01,844
1897,2014-03-31,60,Single,0,90933,1685,15,1,2015-01-01,276
1898,2014-05-28,69,Single,0,113734,277,27,0,2015-01-01,218
1899,2013-06-13,64,relationship,1,59292,507,18,2,2015-01-01,567
1900,2013-02-23,50,relationship,2,45759,68,7,2,2015-01-01,677
1901,2014-04-13,31,Single,0,22148,49,5,1,2015-01-01,263
1902,2014-03-18,27,relationship,0,73395,397,15,1,2015-01-01,289
1903,2013-10-24,43,Single,1,29819,39,9,3,2015-01-01,434
1904,2014-01-25,46,relationship,1,45688,306,14,2,2015-01-01,341
1905,2013-11-05,60,relationship,0,62820,976,14,1,2015-01-01,422
1906,2013-06-09,43,relationship,1,60491,1028,28,4,2015-01-01,571
1907,2014-05-02,28,relationship,1,33235,70,7,1,2015-01-01,244
1908,2013-03-19,55,relationship,0,35701,46,5,1,2015-01-01,653
1909,2013-09-26,34,relationship,1,31535,51,5,1,2015-01-01,462
1910,2014-04-20,54,relationship,0,92556,1263,21,0,2015-01-01,256
1911,2012-10-11,44,Single,1,67384,1490,22,2,2015-01-01,812
1912,2012-10-14,43,relationship,0,80573,1564,24,1,2015-01-01,809
1913,2012-08-22,47,relationship,1,77870,1815,18,3,2015-01-01,862
1914,2013-01-25,51,Single,1,52278,1198,31,6,2015-01-01,706
1915,2012-08-24,46,Single,1,57107,416,23,7,2015-01-01,860
1916,2013-02-16,24,relationship,0,18929,85,6,1,2015-01-01,684
1917,2013-05-31,33,Single,1,36038,47,8,2,2015-01-01,580
1918,2013-02-20,38,Single,0,20180,137,8,1,2015-01-01,680
1919,2012-12-26,49,relationship,2,34230,21,4,1,2015-01-01,736
1920,2014-06-22,37,Single,1,31878,70,6,1,2015-01-01,193
1921,2014-01-19,42,relationship,1,70932,909,22,2,2015-01-01,347
1922,2012-10-20,58,Single,0,91249,1676,22,0,2015-01-01,803
1923,2013-01-10,71,Single,0,77598,1735,26,1,2015-01-01,721
1924,2013-08-01,55,Single,2,80982,1191,30,3,2015-01-01,518
1925,2013-05-09,37,relationship,1,22701,24,5,1,2015-01-01,602
1926,2012-11-23,45,relationship,1,55212,1182,20,3,2015-01-01,769
1927,2013-06-23,44,relationship,0,70617,1280,14,1,2015-01-01,557
1928,2012-11-13,57,Single,0,64849,1336,19,1,2015-01-01,779
1929,2013-06-17,49,relationship,2,62694,749,24,5,2015-01-01,563
1930,2013-11-20,40,relationship,2,61917,91,7,1,2015-01-01,407
1931,2013-09-28,67,relationship,1,67472,414,15,2,2015-01-01,460
1932,2014-07-01,32,relationship,1,21059,44,9,3,2015-01-01,184
1933,2014-01-04,46,relationship,2,29543,63,8,2,2015-01-01,362
1934,2013-08-04,63,relationship,1,75903,901,23,2,2015-01-01,515
1935,2012-06-09,39,relationship,2,34984,38,6,2,2015-01-01,936
1936,2013-10-03,58,Single,1,54998,455,20,5,2015-01-01,455
1937,2012-11-19,65,Single,1,54356,775,24,3,2015-01-01,773
1938,2014-03-23,55,relationship,1,34242,15,4,1,2015-01-01,284
1939,2013-08-31,41,relationship,1,25410,38,6,1,2015-01-01,488
1940,2014-06-02,30,relationship,0,73356,1512,22,1,2015-01-01,213
1941,2013-01-14,64,relationship,1,28320,43,5,1,2015-01-01,717
1942,2012-07-08,37,Single,1,23763,42,5,1,2015-01-01,907
1943,2014-04-25,30,relationship,0,72570,1089,23,1,2015-01-01,251
1944,2012-09-14,38,relationship,1,34529,162,9,2,2015-01-01,839
1945,2013-06-02,63,Single,0,70792,1272,19,2,2015-01-01,578
1946,2012-02-11,32,relationship,0,63211,1173,20,2,2015-01-01,1055
1947,2014-06-20,40,relationship,1,83891,816,22,1,2015-01-01,195
1948,2013-03-31,46,Single,2,36065,74,9,3,2015-01-01,641
1949,2013-12-02,60,relationship,1,39898,134,9,2,2015-01-01,395
1950,2013-08-07,74,Single,0,51141,157,9,1,2015-01-01,512
1951,2013-09-18,38,relationship,1,56939,561,18,2,2015-01-01,470
1952,2014-12-05,63,Single,0,80872,1336,19,1,2015-01-01,27
1953,2012-08-13,38,relationship,0,72335,2092,23,1,2015-01-01,871
1954,2013-11-23,50,Single,0,61798,463,16,1,2015-01-01,404
1955,2014-03-05,64,Single,0,76842,1130,17,1,2015-01-01,302
1956,2014-01-17,38,relationship,1,29478,20,5,1,2015-01-01,349
1957,2012-10-22,58,Single,1,46998,377,18,5,2015-01-01,801
1958,2013-04-23,24,Single,0,96843,1544,28,1,2015-01-01,618
1959,2014-07-05,64,Single,2,56551,138,10,3,2015-01-01,180
1960,2013-03-07,49,relationship,1,70053,1012,26,3,2015-01-01,665
1961,2013-09-07,52,Single,0,71670,1766,15,1,2015-01-01,481
1962,2014-06-17,36,relationship,2,44359,45,9,3,2015-01-01,198
1963,2013-06-05,62,Single,2,40887,161,10,3,2015-01-01,575
1964,2014-05-01,48,Single,1,48877,144,8,1,2015-01-01,245
1965,2013-08-24,67,relationship,0,74485,1734,26,1,2015-01-01,495
1966,2013-10-22,42,relationship,1,64474,823,22,2,2015-01-01,436
1967,2014-02-28,51,relationship,1,77226,1138,28,2,2015-01-01,307
1968,2013-02-27,65,Single,0,72643,1429,21,1,2015-01-01,673
1969,2014-01-23,36,relationship,0,85738,1371,21,1,2015-01-01,343
1970,2013-02-14,48,Single,1,55686,982,16,2,2015-01-01,686
1971,2014-03-25,31,Single,1,39062,44,5,1,2015-01-01,282
1972,2013-01-01,43,relationship,2,34600,318,17,5,2015-01-01,730
1973,2013-07-04,39,relationship,1,40794,434,16,2,2015-01-01,546
1974,2013-07-11,43,relationship,2,54690,198,12,3,2015-01-01,539
1975,2013-05-10,45,relationship,1,4428,359,25,0,2015-01-01,601
1976,2012-02-08,51,relationship,0,32632,576,18,2,2015-01-01,1058
1977,2013-09-20,46,Single,2,38236,88,11,4,2015-01-01,468
1978,2014-10-04,35,relationship,1,36781,63,6,1,2015-01-01,89
